ProductID,ProductName,Language,Price,Stock
P002,Gaming Keyboard,English,86.09,367
P009,Cámara web 1080p,Spanish,60.22,79
P001,Kabellose Maus,German,23.75,238
P004,笔记本电脑支架,Chinese,20.03,22
P010,Alfombrilla de ratón XL,Spanish,37.2,361
P010,Mauspad XL,German,34.46,249
P007,Silla de oficina,Spanish,287.03,94
P009,Cámara web 1080p,Spanish,53.52,100
P007,Office Chair,English,325.7,113
P008,Clavier mécanique,French,136.1,331
P005,Smart Watch,English,206.17,128
P006,USB-C 数据线,Chinese,13.62,225
P003,Bluetooth-Kopfhörer,German,43.66,109
P002,गेमिंग कीबोर्ड,Hindi,93.71,170
P002,Gaming Keyboard,English,82.32,113
P010,Mouse Pad XL,English,32.38,162
P006,Cable USB-C,Spanish,11.6,279
P006,USB-C Cable,English,,57
P003,Bluetooth-Kopfhörer,German,46.04,226
P007,Chaise de bureau,French,296.22,352
P006,USB-C Cable,English,12.0,414
P008,Clavier mécanique,French,161.82,390
P007,Office Chair,English,291.41,207
P009,Webcam 1080p,French,57.8,101
P008,Mechanische Tastatur,German,137.96,369
P001,Souris sans fil,French,27.59,139
P006,Câble USB-C,French,13.64,7
P002,游戏键盘,Chinese,83.25,111
P007,办公椅,Chinese,312.59,53
P010,Alfombrilla de ratón XL,Spanish,36.53,149
P003,Auriculares Bluetooth,Spanish,43.33,230
P010,Mouse Pad XL,English,33.18,34
P002,गेमिंग कीबोर्ड,Hindi,90.71,222
P004,लैपटॉप स्टैंड,Hindi,20.07,350
P009,वेबकैम 1080p,Hindi,59.18,466
P003,Bluetooth Headphones,English,40.61,70
P010,Tapis de souris XL,French,37.08,371
P002,游戏键盘,Chinese,,163
P007,कार्यालय की कुर्सी,Hindi,288.16,213
P002,游戏键盘,Chinese,97.95,325
P005,Smartwatch,German,189.41,385
P006,Cable USB-C,Spanish,11.98,147
P008,机械键盘,Chinese,159.21,370
P004,Laptop Stand,English,19.25,158
P007,Office Chair,English,328.45,443
P003,Écouteurs Bluetooth,French,,369
P005,स्मार्ट वॉच,Hindi,199.36,490
P003,Bluetooth Headphones,English,44.07,156
P006,USB-C-Kabel,German,11.58,189
P002,Gaming Keyboard,English,91.06,7
P010,माउस पैड XL,Hindi,32.76,393
P010,माउस पैड XL,Hindi,31.62,263
P005,智能手表,Chinese,196.56,231
P005,Reloj inteligente,Spanish,217.49,371
P008,Mechanical Keyboard,English,142.87,441
P008,Mechanical Keyboard,English,146.07,149
P009,Webcam 1080p,German,55.35,421
P002,游戏键盘,Chinese,90.15,315
P008,मैकेनिकल कीबोर्ड,Hindi,,422
P004,Laptop Stand,English,18.53,37
P009,वेबकैम 1080p,Hindi,55.1,382
P008,机械键盘,Chinese,159.93,388
P008,Clavier mécanique,French,148.41,372
P005,Reloj inteligente,Spanish,184.36,379
P008,Clavier mécanique,French,162.91,212
P010,Mauspad XL,German,36.11,8
P001,Ratón inalámbrico,Spanish,25.68,247
P003,Bluetooth Headphones,English,43.67,173
P006,Câble USB-C,French,12.21,290
P007,Chaise de bureau,French,319.43,194
P007,Silla de oficina,Spanish,288.34,213
P001,Ratón inalámbrico,Spanish,23.63,186
P002,游戏键盘,Chinese,96.68,463
P004,Support pour ordinateur portable,French,19.42,399
P008,मैकेनिकल कीबोर्ड,Hindi,146.3,489
P003,Bluetooth-Kopfhörer,German,,490
P006,USB-C केबल,Hindi,12.32,236
P008,Clavier mécanique,French,149.39,286
P005,Smartwatch,German,185.83,85
P010,Tapis de souris XL,French,31.84,144
P005,Smartwatch,German,218.65,328
P004,笔记本电脑支架,Chinese,21.59,389
P008,मैकेनिकल कीबोर्ड,Hindi,157.28,392
P007,कार्यालय की कुर्सी,Hindi,294.1,492
P002,Gaming Keyboard,English,95.75,331
P009,Webcam 1080p,French,59.76,356
P002,Gaming Keyboard,English,95.04,214
P004,लैपटॉप स्टैंड,Hindi,,216
P003,蓝牙耳机,Chinese,43.4,126
P010,माउस पैड XL,Hindi,32.15,328
P002,游戏键盘,Chinese,95.41,384
P006,USB-C केबल,Hindi,13.75,140
P010,XL 鼠标垫,Chinese,37.9,55
P006,Câble USB-C,French,12.67,387
P006,Câble USB-C,French,11.9,262
P010,Mauspad XL,German,32.53,348
P001,无线鼠标,Chinese,24.51,142
P006,Cable USB-C,Spanish,13.44,399
P008,Mechanical Keyboard,English,164.18,72
P002,गेमिंग कीबोर्ड,Hindi,97.0,117
P009,वेबकैम 1080p,Hindi,55.87,213
P004,笔记本电脑支架,Chinese,18.28,137
P005,Smartwatch,German,219.55,278
P003,Auriculares Bluetooth,Spanish,43.4,363
P010,Mouse Pad XL,English,37.58,433
P008,मैकेनिकल कीबोर्ड,Hindi,150.32,293
P004,Support pour ordinateur portable,French,20.73,434
P001,Ratón inalámbrico,Spanish,27.24,205
P005,Montre intelligente,French,192.07,370
P008,Teclado mecánico,Spanish,155.87,360
P006,USB-C 数据线,Chinese,11.52,213
P007,Silla de oficina,Spanish,319.48,118
P009,वेबकैम 1080p,Hindi,55.14,52
P007,Bürostuhl,German,302.82,286
P006,Câble USB-C,French,12.38,119
P009,वेबकैम 1080p,Hindi,58.11,369
P008,机械键盘,Chinese,137.55,48
P010,Mauspad XL,German,32.81,342
P003,Bluetooth-Kopfhörer,German,46.91,324
P008,机械键盘,Chinese,140.47,69
P002,गेमिंग कीबोर्ड,Hindi,88.55,360
P009,वेबकैम 1080p,Hindi,50.67,123
P002,Teclado para juegos,Spanish,87.41,374
P002,游戏键盘,Chinese,94.44,234
P010,Tapis de souris XL,French,36.36,251
P004,लैपटॉप स्टैंड,Hindi,20.89,286
P002,Clavier de jeu,French,86.85,234
P002,Clavier de jeu,French,91.38,314
P003,蓝牙耳机,Chinese,46.12,461
P002,Clavier de jeu,French,83.46,234
P006,USB-C 数据线,Chinese,12.78,219
